musicId,frameTime,Arousal(std),Valence(std)
1,15.5,0.28788535103253754,0.27573863458662823
1,16.0,0.28828270981851106,0.2773806641404411
1,16.5,0.2853532375706793,0.2822042026175756
1,17.0,0.2856636497356705,0.2880559443832168
1,17.5,0.28659368763343906,0.291164537257324
1,18.0,0.28699719518665984,0.2866148070947792
1,18.5,0.2882724288965587,0.2840625361237658
1,19.0,0.29048020556385845,0.2823782673508718
1,19.5,0.290235420526334,0.2914804149453489
1,20.0,0.3212969508048284,0.2972638339506197
1,20.5,0.3053404274345146,0.3021543009606056
1,21.0,0.3090407771450105,0.30555290091287235
1,21.5,0.3120614096760128,0.3058050538862537
1,22.0,0.3159000308248747,0.3066304550497099
1,22.5,0.3187956412954548,0.3078188021582729
1,23.0,0.31977631208279705,0.3089262174083441
1,23.5,0.3211316443525436,0.31697522305405623
1,24.0,0.32383729414336754,0.3163898141574649
1,24.5,0.3239150038138787,0.31212897678923085
1,25.0,0.3237622052391743,0.3136297305501315
1,25.5,0.3225316810547149,0.31739588797714596
1,26.0,0.3221810076925762,0.322914031907248
1,26.5,0.3224646982060631,0.32437484052872584
1,27.0,0.3229151814641265,0.3290332023279912
1,27.5,0.31647208833018525,0.3305165383210016
1,28.0,0.3166350624097332,0.3309061529463334
1,28.5,0.31701333978266083,0.3253042849853057
1,29.0,0.3165322454606059,0.32192115257184234
1,29.5,0.3156899062688095,0.3235683825960603
1,30.0,0.31866960186893234,0.33091570101067924
1,30.5,0.319549852718188,0.33096639118573185
1,31.0,0.3182126901403105,0.3254903244682522
1,31.5,0.3171111380972037,0.32359817245156397
1,32.0,0.3172422197641607,0.3235679045709014
4,15.5,0.2850260140504936,0.30158494912187434
4,16.0,0.289119851891266,0.30260502241325765
4,16.5,0.28546890678040016,0.29979534902406163
4,17.0,0.27865890928512177,0.3069751879745916
4,17.5,0.2977574937827451,0.3019727224345534
4,18.0,0.2998982830091869,0.2990730910604612
4,18.5,0.3084097423725779,0.3170812745367401
4,19.0,0.3244908535260288,0.31158120862094635
4,19.5,0.2713623727405079,0.3055555647856195
4,20.0,0.27744545458891673,0.3122869550302028
4,20.5,0.30187415290203284,0.31481809246696074
4,21.0,0.30977117765800544,0.3060173080642997
4,21.5,0.3134766322997812,0.31259006440347176
4,22.0,0.3089277790226356,0.30590676640760817
4,22.5,0.31319132102489666,0.31410807114583816
4,23.0,0.3009362147435334,0.32476216330528435
4,23.5,0.2991906594543736,0.3147542903085084
